# tau [ps];  C6H11N2 [ps*S/m];  C6H11N2-var [ps^2*S^2/m^2];  C2N3 [ps*S/m];  C2N3-var [ps^2*S^2/m^2];  C6H11N2/C6H11N2 [ps*S/m];  C6H11N2/C6H11N2-var [ps^2*S^2/m^2];  C2N3/C2N3 [ps*S/m];  C2N3/C2N3-var [ps^2*S^2/m^2];  C6H11N2/C2N3 [ps*S/m];  C6H11N2/C2N3-var [ps^2*S^2/m^2];  total [ps*S/m];  total-var [ps^2*S^2/m^2]
135.600000;  548.860543;  0.040956;  639.592557;  0.060647;  -448.729469;  0.378625;  -355.887351;  2.717125;  337.091720;  3.748304;  720.928001;  17.144407
136.200000;  550.889750;  0.041148;  641.978943;  0.061036;  -450.296617;  0.382122;  -356.964565;  2.743876;  338.647246;  3.784181;  724.254758;  17.308504
136.800000;  552.919207;  0.041326;  644.353261;  0.061433;  -451.871923;  0.386486;  -358.052121;  2.777338;  340.176146;  3.829548;  727.524571;  17.516009
137.400000;  554.947702;  0.041523;  646.745537;  0.061825;  -453.450234;  0.390417;  -359.168874;  2.806585;  341.691692;  3.868807;  730.765822;  17.695575
138.000000;  556.976103;  0.041772;  649.131077;  0.062238;  -455.008071;  0.394395;  -360.221147;  2.836242;  343.275848;  3.909053;  734.153809;  17.879657
138.600000;  559.007660;  0.042022;  651.507997;  0.062665;  -456.559267;  0.398449;  -361.237039;  2.865652;  344.892988;  3.950489;  737.612339;  18.069181
139.200000;  561.036816;  0.042302;  653.888628;  0.063030;  -458.082903;  0.402302;  -362.185362;  2.895938;  346.594823;  3.992399;  741.252002;  18.260873
139.800000;  563.071500;  0.042561;  656.269858;  0.063412;  -459.624024;  0.406585;  -363.168165;  2.929129;  348.256400;  4.037233;  744.805569;  18.465939
140.400000;  565.103017;  0.042788;  658.659959;  0.063750;  -461.180305;  0.409816;  -364.211761;  2.953603;  349.856285;  4.070068;  748.227194;  18.616123
141.000000;  567.136409;  0.043031;  661.051114;  0.064190;  -462.722112;  0.413395;  -365.210086;  2.980350;  351.511212;  4.104456;  751.766537;  18.773414
141.600000;  569.167850;  0.043286;  663.445075;  0.064574;  -464.287294;  0.417360;  -366.282979;  3.009650;  353.080873;  4.143704;  755.123525;  18.952929
142.200000;  571.196633;  0.043555;  665.830897;  0.065021;  -465.834254;  0.421212;  -367.303635;  3.038952;  354.702932;  4.183505;  758.592573;  19.134974
142.800000;  573.224934;  0.043878;  668.202821;  0.065502;  -467.388974;  0.423842;  -368.333742;  3.058436;  356.297246;  4.208837;  762.002284;  19.250843
143.400000;  575.247889;  0.044201;  670.577262;  0.065996;  -468.933245;  0.427399;  -369.351909;  3.084928;  357.908737;  4.245663;  765.448734;  19.419280
144.000000;  577.278919;  0.044575;  672.958593;  0.066494;  -470.464482;  0.431449;  -370.317157;  3.114690;  359.591294;  4.286177;  769.047168;  19.604588
144.600000;  579.316254;  0.044929;  675.348614;  0.067022;  -472.012078;  0.435569;  -371.319583;  3.145159;  361.240000;  4.327989;  772.573207;  19.795832
145.200000;  581.360824;  0.045314;  677.734899;  0.067518;  -473.597129;  0.439020;  -372.403895;  3.171562;  362.786974;  4.365030;  775.881673;  19.965254
145.800000;  583.407329;  0.045682;  680.124388;  0.067980;  -475.138044;  0.443537;  -373.360875;  3.204872;  364.489047;  4.411492;  779.521846;  20.177768
146.400000;  585.457863;  0.046036;  682.516141;  0.068508;  -476.713806;  0.447892;  -374.407440;  3.237698;  366.087367;  4.456567;  782.940126;  20.383935
147.000000;  587.497048;  0.046420;  684.912862;  0.068963;  -478.321589;  0.451182;  -375.581851;  3.259423;  367.539686;  4.486217;  786.046156;  20.519553
147.600000;  589.539609;  0.046765;  687.300224;  0.069418;  -479.874192;  0.455828;  -376.580995;  3.293742;  369.189133;  4.532267;  789.573780;  20.730180
148.200000;  591.589657;  0.047137;  689.678196;  0.069894;  -481.481830;  0.460250;  -377.705473;  3.325814;  370.678505;  4.575122;  792.759055;  20.926195
148.800000;  593.629179;  0.047534;  692.075746;  0.070403;  -483.068362;  0.464208;  -378.819548;  3.353877;  372.203500;  4.612117;  796.020515;  21.095408
149.400000;  595.657459;  0.047912;  694.447839;  0.070865;  -484.610313;  0.468254;  -379.813707;  3.384269;  373.840728;  4.652632;  799.522006;  21.280722
150.000000;  597.687074;  0.048257;  696.829785;  0.071282;  -486.163399;  0.471719;  -380.845484;  3.409083;  375.444966;  4.686423;  802.952942;  21.435275
150.600000;  599.709658;  0.048632;  699.195198;  0.071742;  -487.712768;  0.476069;  -381.870118;  3.440401;  377.038047;  4.728734;  806.360017;  21.628802
151.200000;  601.737843;  0.048999;  701.576722;  0.072236;  -489.280857;  0.480462;  -382.948035;  3.473701;  378.586961;  4.774597;  809.672633;  21.838577
151.800000;  603.774567;  0.049334;  703.958090;  0.072752;  -490.880091;  0.484304;  -384.089845;  3.502338;  380.059775;  4.813927;  812.822497;  22.018467
152.400000;  605.814535;  0.049658;  706.354164;  0.073268;  -492.494901;  0.487671;  -385.281305;  3.526827;  381.491069;  4.846802;  815.883563;  22.168836
153.000000;  607.852878;  0.049974;  708.746581;  0.073703;  -494.090348;  0.490950;  -386.418848;  3.552282;  382.982080;  4.881179;  819.072342;  22.326073
153.600000;  609.880610;  0.050310;  711.124375;  0.074160;  -495.659498;  0.495194;  -387.497324;  3.585120;  384.525897;  4.926188;  822.374060;  22.531942
154.200000;  611.912667;  0.050662;  713.515850;  0.074661;  -497.229124;  0.498779;  -388.578577;  3.612265;  386.082673;  4.962708;  825.703488;  22.698981
154.800000;  613.960483;  0.051015;  715.909817;  0.075110;  -498.804721;  0.502322;  -389.634587;  3.641187;  387.672402;  5.001024;  829.103394;  22.874234
155.400000;  616.005613;  0.051369;  718.306310;  0.075598;  -500.343925;  0.507168;  -390.597618;  3.676802;  389.375605;  5.049586;  832.745985;  23.096351
156.000000;  618.057673;  0.051696;  720.712409;  0.076072;  -501.966519;  0.510822;  -391.786898;  3.705091;  390.821401;  5.086975;  835.838066;  23.267365
156.600000;  620.105355;  0.051984;  723.111875;  0.076577;  -503.522348;  0.515085;  -392.792778;  3.737538;  392.477228;  5.131414;  839.379332;  23.470624
157.200000;  622.149162;  0.052279;  725.513286;  0.077144;  -505.082844;  0.519982;  -393.824803;  3.775335;  394.104299;  5.183420;  842.859101;  23.708497
157.800000;  624.185193;  0.052623;  727.906141;  0.077667;  -506.664552;  0.523719;  -394.930408;  3.804677;  395.633778;  5.224619;  846.130151;  23.896935
158.400000;  626.216519;  0.052970;  730.285313;  0.078089;  -508.222717;  0.527289;  -395.968956;  3.832783;  397.226675;  5.262119;  849.536834;  24.068458
159.000000;  628.254212;  0.053340;  732.660971;  0.078512;  -509.799168;  0.531034;  -397.037757;  3.860755;  398.779451;  5.300183;  852.857709;  24.242558
159.600000;  630.274205;  0.053719;  735.031742;  0.079058;  -511.344398;  0.535216;  -398.063364;  3.891321;  400.377743;  5.341699;  856.275929;  24.432450
160.200000;  632.298657;  0.054063;  737.408292;  0.079574;  -512.927458;  0.539414;  -399.189301;  3.924363;  401.863691;  5.387418;  859.453882;  24.641563
160.800000;  634.319832;  0.054429;  739.781100;  0.080044;  -514.498599;  0.542908;  -400.287013;  3.950432;  403.378730;  5.423826;  862.694050;  24.808091
161.400000;  636.336661;  0.054773;  742.140691;  0.080544;  -516.024974;  0.547442;  -401.256980;  3.986731;  405.029847;  5.474640;  866.225244;  25.040512
162.000000;  638.342368;  0.055138;  744.507548;  0.080942;  -517.562653;  0.551404;  -402.297754;  4.018619;  406.605467;  5.518163;  869.594975;  25.239582
162.600000;  640.352877;  0.055501;  746.867959;  0.081342;  -519.092121;  0.555099;  -403.295216;  4.048677;  408.224891;  5.559930;  873.058389;  25.430621
163.200000;  642.361799;  0.055890;  749.223641;  0.081732;  -520.643950;  0.558776;  -404.355799;  4.078690;  409.763696;  5.603048;  876.349386;  25.627837
163.800000;  644.380185;  0.056217;  751.591265;  0.082169;  -522.168609;  0.563332;  -405.324528;  4.117047;  411.425830;  5.656788;  879.904142;  25.873641
164.400000;  646.407880;  0.056507;  753.964715;  0.082639;  -523.724706;  0.566733;  -406.361781;  4.148622;  413.013467;  5.700356;  883.299575;  26.072918
165.000000;  648.424521;  0.056826;  756.337618;  0.083131;  -525.315713;  0.570059;  -407.528716;  4.178992;  414.446369;  5.742120;  886.364079;  26.263938
165.600000;  650.446393;  0.057168;  758.714768;  0.083655;  -526.893272;  0.572936;  -408.646979;  4.203884;  415.942149;  5.774730;  889.563059;  26.413093
166.200000;  652.468716;  0.057608;  761.090611;  0.084240;  -528.479427;  0.576052;  -409.787010;  4.227901;  417.410511;  5.808281;  892.703400;  26.566554
166.800000;  654.495036;  0.058042;  763.468680;  0.084816;  -530.030813;  0.580001;  -410.819431;  4.259834;  419.009378;  5.851826;  896.122849;  26.765727
167.400000;  656.513837;  0.058410;  765.834798;  0.085347;  -531.599552;  0.583931;  -411.910370;  4.289652;  420.524515;  5.892446;  899.363228;  26.951519
168.000000;  658.531115;  0.058784;  768.202440;  0.085842;  -533.164212;  0.588789;  -412.995592;  4.326505;  422.048256;  5.942023;  902.622007;  27.178276
168.600000;  660.556849;  0.059142;  770.582261;  0.086365;  -534.725109;  0.593469;  -414.058371;  4.363277;  423.613133;  5.991789;  905.968764;  27.405905
169.200000;  662.578775;  0.059470;  772.963740;  0.086892;  -536.281440;  0.598175;  -415.120661;  4.399682;  425.180562;  6.040316;  909.320977;  27.627860
169.800000;  664.613784;  0.059780;  775.337634;  0.087341;  -537.884088;  0.601670;  -416.269532;  4.425665;  426.636105;  6.074181;  912.433904;  27.782756
170.400000;  666.645413;  0.060059;  777.709491;  0.087784;  -539.481065;  0.605385;  -417.409876;  4.453288;  428.099359;  6.110390;  915.563322;  27.948373
171.000000;  668.672127;  0.060412;  780.096548;  0.088235;  -541.021575;  0.609806;  -418.419350;  4.488429;  429.736170;  6.157990;  919.063919;  28.166094
171.600000;  670.700448;  0.060769;  782.475807;  0.088798;  -542.598264;  0.613381;  -419.518980;  4.515184;  431.256594;  6.193039;  922.315606;  28.326405
172.200000;  672.728884;  0.061127;  784.858727;  0.089407;  -544.167609;  0.617484;  -420.601142;  4.546905;  432.802123;  6.235410;  925.620983;  28.520205
172.800000;  674.762169;  0.061477;  787.237043;  0.090006;  -545.773671;  0.621098;  -421.768989;  4.574438;  434.240374;  6.272714;  928.696926;  28.690829
173.400000;  676.793430;  0.061860;  789.612971;  0.090631;  -547.357420;  0.624504;  -422.876967;  4.598296;  435.746922;  6.303831;  931.918936;  28.833153
174.000000;  678.816926;  0.062259;  791.987599;  0.091185;  -548.917839;  0.629239;  -423.939540;  4.632248;  437.305874;  6.348957;  935.253020;  29.039556
174.600000;  680.839958;  0.062614;  794.361022;  0.091854;  -550.480306;  0.633298;  -425.008027;  4.664435;  438.856368;  6.392517;  938.569015;  29.238799
175.200000;  682.869550;  0.063005;  796.742911;  0.092501;  -552.040023;  0.637274;  -426.058601;  4.694783;  440.438204;  6.433596;  941.952041;  29.426687
175.800000;  684.895455;  0.063427;  799.119242;  0.093080;  -553.600455;  0.641128;  -427.116091;  4.722155;  442.005219;  6.470450;  945.303370;  29.595255
176.400000;  686.920883;  0.063761;  801.501588;  0.093637;  -555.134231;  0.645427;  -428.105420;  4.755093;  443.660369;  6.514223;  948.843188;  29.795472
177.000000;  688.943853;  0.064081;  803.868769;  0.094162;  -556.667156;  0.649278;  -429.084137;  4.784446;  445.310110;  6.553478;  952.371440;  29.975021
177.600000;  690.964926;  0.064434;  806.243892;  0.094661;  -558.197816;  0.653339;  -430.069753;  4.814919;  446.961087;  6.594260;  955.902336;  30.161553
178.200000;  692.981236;  0.064807;  808.608144;  0.095205;  -559.760906;  0.657404;  -431.149882;  4.845184;  448.486852;  6.636439;  959.165445;  30.354476
178.800000;  694.997876;  0.065182;  810.970112;  0.095763;  -561.345536;  0.661221;  -432.287817;  4.874128;  449.941218;  6.674606;  962.275854;  30.529048
179.400000;  697.019165;  0.065549;  813.346378;  0.096334;  -562.944712;  0.665141;  -433.468096;  4.904122;  451.362261;  6.714583;  965.314996;  30.711898
180.000000;  699.043099;  0.065908;  815.746333;  0.096887;  -564.516574;  0.668978;  -434.587177;  4.932779;  452.884164;  6.752352;  968.569845;  30.884651
180.600000;  701.071010;  0.066266;  818.129609;  0.097435;  -566.091672;  0.673052;  -435.687480;  4.962805;  454.408563;  6.792135;  971.830030;  31.066616
181.200000;  703.103982;  0.066644;  820.509730;  0.097996;  -567.687122;  0.676837;  -436.827956;  4.990352;  455.881479;  6.827606;  974.980113;  31.228858
181.800000;  705.126322;  0.067003;  822.892627;  0.098458;  -569.249026;  0.681872;  -437.906279;  5.027926;  457.431543;  6.878291;  978.295189;  31.460683
182.400000;  707.143743;  0.067439;  825.260559;  0.098976;  -570.821247;  0.685286;  -439.012809;  5.053359;  458.930310;  6.911052;  981.500556;  31.610529
183.000000;  709.154331;  0.067818;  827.630091;  0.099495;  -572.386793;  0.689568;  -440.121388;  5.087745;  460.428545;  6.956410;  984.704786;  31.817992
183.600000;  711.163623;  0.068141;  829.984501;  0.100104;  -573.958736;  0.693984;  -441.236638;  5.122777;  461.900885;  7.002766;  987.853635;  32.030020
184.200000;  713.172289;  0.068435;  832.348241;  0.100625;  -575.514310;  0.698548;  -442.316617;  5.160320;  463.426219;  7.051989;  991.115823;  32.255164
184.800000;  715.182182;  0.068786;  834.713224;  0.101135;  -577.094272;  0.702198;  -443.463460;  5.189060;  464.873583;  7.088564;  994.211257;  32.422452
185.400000;  717.195969;  0.069156;  837.084640;  0.101640;  -578.667175;  0.706726;  -444.585701;  5.222553;  466.357824;  7.132519;  997.385558;  32.623500
186.000000;  719.208375;  0.069563;  839.458445;  0.102243;  -580.276808;  0.709905;  -445.818315;  5.247743;  467.713760;  7.165265;  1000.285457;  32.773277
186.600000;  721.214455;  0.070000;  841.827454;  0.102792;  -581.825726;  0.714838;  -446.892030;  5.285138;  469.252796;  7.214687;  1003.576949;  32.999328
187.200000;  723.228505;  0.070366;  844.186943;  0.103380;  -583.382782;  0.718812;  -447.956699;  5.317417;  470.791271;  7.257611;  1006.867238;  33.195659
187.800000;  725.249208;  0.070757;  846.553944;  0.104017;  -584.942882;  0.723535;  -449.018658;  5.355703;  472.341891;  7.308243;  1010.183503;  33.427246
188.400000;  727.272381;  0.071148;  848.939510;  0.104637;  -586.534075;  0.727512;  -450.180277;  5.387590;  473.796155;  7.351488;  1013.293694;  33.625044
189.000000;  729.305138;  0.071564;  851.329511;  0.105229;  -588.060288;  0.731455;  -451.135069;  5.420013;  475.501436;  7.394997;  1016.940728;  33.824053
189.600000;  731.339218;  0.071947;  853.709958;  0.105855;  -589.626032;  0.736625;  -452.188563;  5.459676;  477.078089;  7.448153;  1020.312670;  34.067183
190.200000;  733.375966;  0.072336;  856.089939;  0.106442;  -591.190001;  0.741152;  -453.228997;  5.494102;  478.669707;  7.494700;  1023.716616;  34.280081
190.800000;  735.413708;  0.072676;  858.469404;  0.107016;  -592.739040;  0.746429;  -454.223802;  5.536010;  480.314927;  7.552155;  1027.235198;  34.542877
191.400000;  737.453713;  0.073033;  860.853092;  0.107597;  -594.346105;  0.751779;  -455.380825;  5.577459;  481.772420;  7.608688;  1030.352295;  34.801456
192.000000;  739.492636;  0.073487;  863.237305;  0.108196;  -595.897421;  0.756681;  -456.383482;  5.615521;  483.413952;  7.660571;  1033.862991;  35.038764
192.600000;  741.525029;  0.073968;  865.622329;  0.108870;  -597.480003;  0.761604;  -457.494041;  5.653525;  484.928240;  7.711335;  1037.101553;  35.270953
193.200000;  743.555174;  0.074406;  868.005754;  0.109460;  -599.074691;  0.765308;  -458.643669;  5.681077;  486.394209;  7.746362;  1040.236777;  35.431165
193.800000;  745.584554;  0.074882;  870.371240;  0.110149;  -600.632234;  0.772359;  -459.672278;  5.735422;  487.982653;  7.819964;  1043.633936;  35.767812
194.400000;  747.614127;  0.075330;  872.744111;  0.110774;  -602.204935;  0.778588;  -460.750679;  5.781593;  489.520712;  7.882458;  1046.923336;  36.053654
195.000000;  749.643220;  0.075831;  875.119122;  0.111485;  -603.800748;  0.783553;  -461.898060;  5.818327;  490.979352;  7.931956;  1050.042885;  36.280054
195.600000;  751.665301;  0.076297;  877.488666;  0.112141;  -605.398640;  0.789028;  -463.065733;  5.860714;  492.407386;  7.990123;  1053.096980;  36.546105
196.200000;  753.690833;  0.076749;  879.858419;  0.112791;  -606.985517;  0.794114;  -464.192628;  5.896808;  493.884121;  8.038625;  1056.255228;  36.767947
196.800000;  755.715270;  0.077188;  882.227098;  0.113492;  -608.565120;  0.799939;  -465.300943;  5.942367;  495.381656;  8.099990;  1059.457960;  37.048625
197.400000;  757.751388;  0.077639;  884.609214;  0.114102;  -610.098813;  0.806803;  -466.259515;  5.993932;  497.073076;  8.170608;  1063.075350;  37.371625
198.000000;  759.788641;  0.078099;  886.993032;  0.114675;  -611.672912;  0.812351;  -467.331065;  6.037188;  498.632282;  8.228579;  1066.409979;  37.636780
198.600000;  761.834132;  0.078548;  889.376661;  0.115206;  -613.273425;  0.817496;  -468.453922;  6.075183;  500.130301;  8.279788;  1069.613746;  37.871006
199.200000;  763.865237;  0.078987;  891.752875;  0.115712;  -614.818761;  0.822620;  -469.453787;  6.113858;  501.765645;  8.329828;  1073.111208;  38.099882
199.800000;  765.890373;  0.079425;  894.127028;  0.116221;  -616.395646;  0.827176;  -470.557892;  6.147387;  503.274686;  8.373326;  1076.338549;  38.298838
200.400000;  767.917504;  0.079948;  896.506671;  0.116810;  -617.957267;  0.833314;  -471.618588;  6.190610;  504.841827;  8.432138;  1079.690148;  38.567842
201.000000;  769.940762;  0.080419;  898.884384;  0.117404;  -619.496525;  0.838831;  -472.624965;  6.231370;  506.471215;  8.488141;  1083.174870;  38.823995
201.600000;  771.975877;  0.080868;  901.265478;  0.117976;  -621.053620;  0.844197;  -473.651667;  6.271723;  508.080472;  8.540997;  1086.616540;  39.065753
202.200000;  774.004050;  0.081310;  903.636820;  0.118636;  -622.580882;  0.849665;  -474.603758;  6.313897;  509.766791;  8.599148;  1090.223021;  39.331730
202.800000;  776.031851;  0.081754;  906.003483;  0.119270;  -624.128652;  0.855102;  -475.610330;  6.354863;  511.382819;  8.654521;  1093.679171;  39.585000
203.400000;  778.053871;  0.082191;  908.384316;  0.119871;  -625.696940;  0.859791;  -476.705588;  6.392406;  512.910309;  8.705856;  1096.945969;  39.819802
204.000000;  780.077395;  0.082595;  910.762592;  0.120521;  -627.256092;  0.864984;  -477.768140;  6.433026;  514.473620;  8.759183;  1100.289374;  40.063716
204.600000;  782.109258;  0.083031;  913.134236;  0.121159;  -628.803110;  0.869887;  -478.766054;  6.469086;  516.105853;  8.804917;  1103.780184;  40.272898
205.200000;  784.130993;  0.083496;  915.507417;  0.121932;  -630.351269;  0.874496;  -479.797434;  6.503899;  517.700149;  8.849334;  1107.189856;  40.476056
205.800000;  786.155363;  0.083985;  917.883440;  0.122759;  -631.920741;  0.879440;  -480.884577;  6.539046;  519.231565;  8.895591;  1110.465049;  40.687632
206.400000;  788.189730;  0.084491;  920.254858;  0.123525;  -633.435875;  0.885201;  -481.784833;  6.580408;  520.979564;  8.950805;  1114.203443;  40.940177
207.000000;  790.224502;  0.084974;  922.630796;  0.124303;  -635.000731;  0.890110;  -482.829339;  6.614631;  522.561541;  8.995913;  1117.586770;  41.146496
207.600000;  792.259734;  0.085450;  925.006544;  0.125058;  -636.537064;  0.894697;  -483.791537;  6.646263;  524.241086;  9.037927;  1121.178763;  41.338663
208.200000;  794.281467;  0.085878;  927.369005;  0.125789;  -638.091060;  0.899475;  -484.828744;  6.681369;  525.815721;  9.084227;  1124.546387;  41.550437
208.800000;  796.298323;  0.086265;  929.725974;  0.126471;  -639.625266;  0.904071;  -485.818199;  6.717030;  527.440569;  9.131638;  1128.021402;  41.767289
209.400000;  798.312383;  0.086676;  932.087608;  0.127057;  -641.153956;  0.908067;  -486.804615;  6.746539;  529.074569;  9.171475;  1131.515989;  41.949503
210.000000;  800.337054;  0.087063;  934.446139;  0.127706;  -642.724999;  0.912956;  -487.877868;  6.784676;  530.601707;  9.223199;  1134.782032;  42.186083
210.600000;  802.353766;  0.087430;  936.808092;  0.128302;  -644.266051;  0.917922;  -488.892114;  6.822490;  532.203020;  9.273897;  1138.206714;  42.417969
211.200000;  804.371591;  0.087869;  939.171259;  0.128960;  -645.776944;  0.923412;  -489.818972;  6.865166;  533.909607;  9.332454;  1141.856541;  42.685807
211.800000;  806.389786;  0.088421;  941.528016;  0.129573;  -647.335833;  0.927645;  -490.874360;  6.897090;  535.455863;  9.374107;  1145.163471;  42.876320
212.400000;  808.407849;  0.088933;  943.895850;  0.130170;  -648.874206;  0.932795;  -491.883069;  6.936995;  537.070743;  9.428775;  1148.617168;  43.126368
213.000000;  810.427523;  0.089465;  946.266616;  0.130910;  -650.396346;  0.938514;  -492.844151;  6.982890;  538.745694;  9.493136;  1152.199336;  43.420748
213.600000;  812.445893;  0.090015;  948.628598;  0.131668;  -651.865731;  0.944634;  -493.650676;  7.029801;  540.593851;  9.557381;  1156.151934;  43.714601
214.200000;  814.460211;  0.090596;  950.998748;  0.132418;  -653.392973;  0.949998;  -494.640773;  7.070322;  542.233598;  9.613644;  1159.658810;  43.971944
214.800000;  816.473545;  0.091137;  953.360903;  0.133060;  -654.924955;  0.956661;  -495.639095;  7.123200;  543.854072;  9.686198;  1163.124470;  44.303796
215.400000;  818.488053;  0.091740;  955.729795;  0.133759;  -656.442386;  0.963883;  -496.599601;  7.177637;  545.527482;  9.761708;  1166.703343;  44.649174
216.000000;  820.504982;  0.092375;  958.105074;  0.134480;  -657.949100;  0.970152;  -497.529269;  7.223377;  547.245123;  9.823965;  1170.376810;  44.933931
216.600000;  822.528743;  0.093045;  960.472859;  0.135293;  -659.458329;  0.976966;  -498.439210;  7.274704;  548.977297;  9.896270;  1174.081359;  45.264647
217.200000;  824.556642;  0.093660;  962.843487;  0.136091;  -660.962854;  0.984740;  -499.326943;  7.332326;  550.739237;  9.975629;  1177.849568;  45.627629
217.800000;  826.570525;  0.094171;  965.214015;  0.136874;  -662.443683;  0.991743;  -500.187147;  7.384440;  552.533768;  10.048004;  1181.687478;  45.958666
218.400000;  828.587789;  0.094589;  967.569170;  0.137667;  -663.951828;  0.998194;  -501.099796;  7.431621;  554.247720;  10.112857;  1185.353054;  46.255296
219.000000;  830.606976;  0.094996;  969.931873;  0.138428;  -665.470032;  1.004350;  -502.043047;  7.477971;  555.934279;  10.178281;  1188.960049;  46.554541
219.600000;  832.630830;  0.095406;  972.299706;  0.139204;  -666.980270;  1.010947;  -502.955629;  7.527542;  557.663372;  10.246192;  1192.658009;  46.865159
220.200000;  834.659856;  0.095834;  974.659055;  0.139920;  -668.517634;  1.016749;  -503.921934;  7.570311;  559.318554;  10.304564;  1196.197897;  47.132149
220.800000;  836.687710;  0.096263;  977.018735;  0.140756;  -670.042591;  1.022574;  -504.856737;  7.615581;  561.011558;  10.367909;  1199.818674;  47.421885
221.400000;  838.714146;  0.096641;  979.381822;  0.141526;  -671.554219;  1.028469;  -505.761197;  7.660449;  562.744663;  10.429257;  1203.525215;  47.702484
222.000000;  840.741286;  0.096989;  981.740465;  0.142174;  -673.071063;  1.036240;  -506.674002;  7.720284;  564.462575;  10.510561;  1207.199261;  48.074359
222.600000;  842.763732;  0.097444;  984.105580;  0.142843;  -674.573728;  1.042698;  -507.566399;  7.767227;  566.212423;  10.575122;  1210.941608;  48.369656
223.200000;  844.794473;  0.097917;  986.468911;  0.143531;  -676.126383;  1.050152;  -508.575151;  7.823204;  567.821901;  10.650679;  1214.383751;  48.715247
223.800000;  846.827643;  0.098395;  988.841530;  0.144222;  -677.688170;  1.056963;  -509.612183;  7.870760;  569.408813;  10.715081;  1217.777633;  49.009817
224.400000;  848.863326;  0.098834;  991.213461;  0.144943;  -679.220096;  1.064179;  -510.556797;  7.924712;  571.104716;  10.787052;  1221.404611;  49.339007
225.000000;  850.892844;  0.099388;  993.594828;  0.145824;  -680.728474;  1.071442;  -511.461600;  7.974778;  572.859135;  10.854542;  1225.156732;  49.647698
225.600000;  852.924736;  0.099977;  995.971631;  0.146669;  -682.254904;  1.080121;  -512.406261;  8.038308;  574.560772;  10.940601;  1228.795974;  50.041326
226.200000;  854.964571;  0.100510;  998.359477;  0.147575;  -683.748362;  1.088218;  -513.246035;  8.096514;  576.400154;  11.020082;  1232.729805;  50.404866
226.800000;  857.012650;  0.101101;  1000.743351;  0.148431;  -685.281805;  1.096131;  -514.171769;  8.154774;  578.132681;  11.099693;  1236.435108;  50.768998
227.400000;  859.043178;  0.101640;  1003.114527;  0.149220;  -686.809731;  1.102350;  -515.118904;  8.199384;  579.824692;  11.161793;  1240.053761;  51.053038
228.000000;  861.065033;  0.102155;  1005.487697;  0.149972;  -688.357619;  1.108746;  -516.149165;  8.246608;  581.420304;  11.226901;  1243.466249;  51.350833
228.600000;  863.088828;  0.102673;  1007.854583;  0.150762;  -689.896244;  1.115531;  -517.141402;  8.297367;  583.053630;  11.296071;  1246.959396;  51.667210
229.200000;  865.104263;  0.103168;  1010.215321;  0.151509;  -691.436965;  1.123279;  -518.157115;  8.357335;  584.651756;  11.377695;  1250.377259;  52.040553
229.800000;  867.123515;  0.103641;  1012.591010;  0.152292;  -692.998502;  1.129740;  -519.235943;  8.406483;  586.192655;  11.442302;  1253.672735;  52.336058
230.400000;  869.147212;  0.104105;  1014.958011;  0.153109;  -694.557140;  1.136414;  -520.285270;  8.454073;  587.758283;  11.505019;  1257.021097;  52.622921
231.000000;  871.170295;  0.104619;  1017.319065;  0.153835;  -696.143241;  1.144668;  -521.408210;  8.515302;  589.229381;  11.588595;  1260.167290;  53.005191
231.600000;  873.189169;  0.105026;  1019.679701;  0.154618;  -697.684012;  1.152514;  -522.414217;  8.572512;  590.838918;  11.666227;  1263.609559;  53.360275
232.200000;  875.213477;  0.105410;  1022.063149;  0.155340;  -699.280532;  1.158963;  -523.585597;  8.620103;  592.279068;  11.729880;  1266.689564;  53.651415
232.800000;  877.234689;  0.105828;  1024.451933;  0.156039;  -700.864090;  1.165664;  -524.734359;  8.668514;  593.752433;  11.793759;  1269.840606;  53.943594
233.400000;  879.260218;  0.106202;  1026.837712;  0.156790;  -702.419823;  1.173744;  -525.789049;  8.728050;  595.334001;  11.873906;  1273.223059;  54.310179
234.000000;  881.286542;  0.106574;  1029.220592;  0.157496;  -703.982411;  1.179931;  -526.858005;  8.774738;  596.895174;  11.935935;  1276.561892;  54.593894
234.600000;  883.318882;  0.107004;  1031.597292;  0.158196;  -705.553352;  1.187332;  -527.927408;  8.829148;  598.448473;  12.010010;  1279.883886;  54.932705
235.200000;  885.347818;  0.107466;  1033.968236;  0.159006;  -707.117493;  1.194379;  -528.981427;  8.882370;  600.013211;  12.081239;  1283.230346;  55.258502
235.800000;  887.385490;  0.107932;  1036.354428;  0.159935;  -708.707686;  1.200944;  -530.099765;  8.932308;  601.519646;  12.149164;  1286.452114;  55.569181
236.400000;  889.420083;  0.108413;  1038.729619;  0.160923;  -710.293988;  1.208105;  -531.204792;  8.985359;  603.028823;  12.219533;  1289.679745;  55.891043
237.000000;  891.453857;  0.108876;  1041.097487;  0.161748;  -711.894007;  1.214935;  -532.343687;  9.036965;  604.489060;  12.289474;  1292.802709;  56.210947
237.600000;  893.477323;  0.109221;  1043.469196;  0.162576;  -713.470053;  1.220550;  -533.447704;  9.079602;  605.995301;  12.343937;  1296.024061;  56.460056
238.200000;  895.509574;  0.109604;  1045.846003;  0.163478;  -715.087564;  1.226344;  -534.649412;  9.123812;  607.391525;  12.401942;  1299.010126;  56.725367
