# tau [ps];  C6H11N2 [ps*S/m];  C6H11N2-var [ps^2*S^2/m^2];  C2N3 [ps*S/m];  C2N3-var [ps^2*S^2/m^2];  C6H11N2/C6H11N2 [ps*S/m];  C6H11N2/C6H11N2-var [ps^2*S^2/m^2];  C2N3/C2N3 [ps*S/m];  C2N3/C2N3-var [ps^2*S^2/m^2];  C6H11N2/C2N3 [ps*S/m];  C6H11N2/C2N3-var [ps^2*S^2/m^2];  total [ps*S/m];  total-var [ps^2*S^2/m^2]
63.000000;  298.554376;  0.015701;  347.664661;  0.021124;  -249.263459;  0.096948;  -208.006818;  0.677429;  165.938099;  0.935931;  354.886859;  4.280866
63.600000;  300.680703;  0.015859;  350.120388;  0.021342;  -250.961445;  0.098025;  -209.248909;  0.685191;  167.380112;  0.946823;  357.970849;  4.330685
64.200000;  302.801500;  0.016002;  352.581021;  0.021582;  -252.672729;  0.099509;  -210.549256;  0.695437;  168.758736;  0.961175;  360.919271;  4.396330
64.800000;  304.921787;  0.016140;  355.040134;  0.021827;  -254.371813;  0.100537;  -211.814957;  0.702357;  170.176719;  0.970702;  363.951870;  4.439904
65.400000;  307.043475;  0.016276;  357.508830;  0.022057;  -256.092920;  0.102102;  -213.148671;  0.713521;  171.525278;  0.985942;  366.835992;  4.509608
66.000000;  309.163433;  0.016411;  359.967923;  0.022303;  -257.794493;  0.103148;  -214.422336;  0.720521;  172.933775;  0.995985;  369.848303;  4.555547
66.600000;  311.273747;  0.016587;  362.414073;  0.022550;  -259.526298;  0.104377;  -215.796046;  0.729339;  174.208022;  1.008370;  372.573497;  4.612195
67.200000;  313.386533;  0.016769;  364.868191;  0.022823;  -261.206431;  0.106199;  -217.024310;  0.742712;  175.664553;  1.026270;  375.688537;  4.694069
67.800000;  315.499982;  0.016950;  367.316692;  0.023092;  -262.942544;  0.107215;  -218.403691;  0.749683;  176.934855;  1.035350;  378.405293;  4.735596
68.400000;  317.620476;  0.017096;  369.778105;  0.023329;  -264.652032;  0.108458;  -219.700584;  0.758693;  178.318510;  1.047809;  381.364475;  4.792586
69.000000;  319.743260;  0.017227;  372.248813;  0.023563;  -266.372620;  0.109503;  -221.031734;  0.767173;  179.672506;  1.059561;  384.260227;  4.846336
69.600000;  321.857103;  0.017356;  374.700129;  0.023805;  -268.100462;  0.110142;  -222.389381;  0.771758;  180.971977;  1.066587;  387.039365;  4.878472
70.200000;  323.966516;  0.017489;  377.155854;  0.024088;  -269.839682;  0.111032;  -223.796222;  0.778291;  182.218236;  1.076010;  389.704703;  4.921571
70.800000;  326.078617;  0.017619;  379.601654;  0.024326;  -271.579010;  0.112439;  -225.185829;  0.789479;  183.473178;  1.092008;  392.388609;  4.994748
71.400000;  328.187877;  0.017812;  382.047942;  0.024613;  -273.276261;  0.113363;  -226.464760;  0.795815;  184.860204;  1.100985;  395.355002;  5.035806
72.000000;  330.291902;  0.018043;  384.493604;  0.024900;  -274.997478;  0.114796;  -227.825794;  0.805525;  186.148933;  1.113896;  398.111167;  5.094860
